var,plev_pa,plev_hpa,global_mean_min,global_mean_mean,global_mean_max,raw_min,raw_p01,raw_p05,raw_p95,raw_p99,raw_max,spatial_min,spatial_p01,spatial_p05,spatial_p95,spatial_p99,spatial_max,temporal_min,temporal_p01,temporal_p05,temporal_p95,temporal_p99,temporal_max,slope_mean_min,slope_mean_mean,slope_mean_max,slope_min,slope_p01,slope_p05,slope_p95,slope_p99,slope_max
hus,85000.0,850.0,0.006053428093156,0.00658570065861555,0.0073324990940826,-0.0009552153060212,2.264654540340416e-05,0.0001601902913535,0.0142057631164789,0.0152581790462136,0.0201614499092102,0.0054383290644708,0.0055253995927953,0.005606037955105,0.0079614866348636,0.0080763539897838,0.0082038841323994,4.1757153667276725e-05,8.626045018900186e-05,0.0001628442987566,0.013645994476974,0.0144251566380262,0.0159666705876588,2.4264411167549345e-05,3.8599006804574896e-05,5.2775768329487085e-05,-0.0003174623544884,-0.0001476973764603,-6.059166323137712e-05,0.0002010538371849,0.0003382410742659,0.000702568067058
hus,92500.0,925.0,0.0080242116354041,0.0087410699595356,0.0097047937264194,-0.0002093138173222,1.3184476301830728e-05,0.000150831619976,0.0175643172115087,0.0183368436992168,0.0219886973500251,0.0074782754643708,0.0075343748223726,0.0075891344495227,0.0103322371524315,0.0104331208875132,0.0105687363651513,4.4997999793849885e-05,7.66799712437205e-05,0.000153325338033,0.0171871855854988,0.0177573170512914,0.0185792613774538,3.055028597030032e-05,5.130600067929919e-05,6.720056436746018e-05,-0.0004093608659396,-0.0001583183468098,-5.053417739691594e-05,0.0003079672819832,0.0005165687522719,0.0009922179673198
hus,100000.0,1000.0,0.0093820503911019,0.010193119049669444,0.0112147631205725,-0.0002366960979998,1.6741159925004467e-05,0.0001421365450369,0.0201080832630395,0.020950473845005,0.0286850444972515,0.0086874731033667,0.0087837867809346,0.0088643034895123,0.0119219393459348,0.012038153695442,0.0121636467262289,3.4896576835308224e-05,8.232346590375528e-05,0.0001579509116709,0.0197400450706481,0.0202924646437168,0.0211241524666547,2.7260462906745247e-05,5.553005173577622e-05,6.992399833500185e-05,-0.000415332215807,-0.000231992402487,-0.0001018669506963,0.0003993171689029,0.00066729946367,0.0012665072713226
psl,,,101111.35363361874,101128.85490998231,101166.33423655164,93698.7578125,97422.28125,98185.125,102344.3046875,103065.4375,105446.828125,101076.42899223382,101081.78896408645,101088.41869720312,101195.35896266432,101203.10635087042,101209.90628622456,97463.953125,97781.3125,98212.5859375,101990.484375,102209.875,103109.5703125,-5.407799411885694,-1.2236972300404778,4.889668921168458,-212.8267142575668,-99.96564504767018,-58.71858143266546,83.16294281062105,148.12385144305009,176.25081349987087
siconc,,,2.7637787872308075,4.440690047757963,5.376154005624097,-34.9710807800293,-0.6775006651878357,-0.2022254765033722,97.802734375,105.45557403564452,214.19546508789065,1.6516513875996963,1.7168049544181123,1.7911644705555572,6.146273400760108,6.438164003098945,9.442380092440914,-19.54302215576172,-0.2534912228584289,-0.1134485080838203,95.3889617919922,97.82386016845705,156.4959716796875,-0.2629054768524307,-0.1098704659651052,-0.0492986143562163,-40.536797593650334,-22.45882805443656,-9.173977462063853,0.5050123795520225,2.057217322999941,9.014454395895168
ta,5000.0,50.0,-62.05050339687423,-61.07013574569914,-59.49957497971817,-92.56546020507812,-88.51614379882812,-79.65322875976562,-43.5242919921875,-38.343841552734375,-31.406509399414062,-64.28378341432897,-63.99312101653232,-63.6519494687992,-57.66479535170991,-56.5700742523076,-55.20108772306785,-72.33280944824219,-71.41334533691406,-70.32681274414062,-50.72238540649414,-48.688026428222656,-46.92315673828125,-0.350030619250132,-0.07667991913066063,0.0578111678622054,-0.9227945021619296,-0.7256509156214378,-0.6001695858819533,0.5179145962069291,0.8530833969960274,1.1036935045068588
ta,10000.0,100.0,-70.0996356629221,-68.68417930648077,-67.79835835474557,-90.96351623535156,-84.64736938476562,-82.21694946289062,-45.14886474609375,-42.17597961425781,-36.38092041015625,-71.63425917643971,-70.90185923878114,-70.55070132966708,-66.93057658969423,-66.67652889107394,-64.57420851214498,-85.61962127685547,-83.16181182861328,-81.71575164794922,-52.21547317504883,-50.61470413208008,-49.44182968139648,-0.2883272434860843,-0.06661177261901964,0.0434491486686641,-1.6856554131678771,-0.947002711135711,-0.8853045402011416,0.4969499400546924,0.7412666165447941,0.8058154965122978
ta,15000.0,150.0,-62.56204592840776,-61.60661393967324,-60.67063455875053,-84.49995422363281,-78.91558074951172,-72.69239807128906,-45.38287353515625,-42.681060791015625,-38.8660888671875,-64.64638916904426,-63.97517883793693,-63.351669156566665,-59.80797411562518,-59.52856162686992,-59.04186779069009,-70.16949462890625,-69.2853012084961,-68.75267791748047,-48.74796676635742,-47.79051971435547,-46.49991989135742,-0.0473896058986864,0.024085734096035098,0.0819233676134435,-1.2854675029853322,-0.6798831854454865,-0.6229517021940448,0.6581216070060778,0.8634940085127899,0.9256656542166471
ta,20000.0,200.0,-55.06241575727236,-54.185131927176776,-53.00202601369912,-80.33773803710938,-75.52890014648438,-70.56019592285156,-45.97697448730469,-42.69480895996094,-36.54408264160156,-56.68589545454808,-56.35535848259491,-55.75631538178608,-52.35955087743733,-52.04466774547318,-51.76012286079416,-67.44393157958984,-67.16411590576172,-66.35598754882812,-48.392723083496094,-46.50674819946289,-45.27740859985352,0.0222186967429685,0.06270436191372958,0.1236627619860194,-0.5419265667459088,-0.4314230077123614,-0.3624473580702416,0.7400753429619346,0.978624583446822,1.0704820999911604
ta,25000.0,250.0,-47.82702074106498,-46.72468528895452,-45.03385872974005,-74.56947326660156,-70.75755310058594,-67.00119018554688,-36.153594970703125,-35.000396728515625,-30.247573852539062,-49.290840407004616,-48.883689752223056,-48.5259259635332,-44.32083565137864,-44.15897377987282,-43.87949230145721,-65.59642028808594,-65.17076110839844,-64.32809448242188,-36.36416244506836,-35.956329345703125,-35.79728317260742,0.0321556267295383,0.09376555321618739,0.1773952120698328,-0.2646432176446848,-0.2172028738040041,-0.1839615138384526,0.6056191808035754,0.8244021192653826,1.2177263020301865
