var,plev_pa,plev_hpa,global_mean_min,global_mean_mean,global_mean_max,raw_min,raw_p01,raw_p05,raw_p95,raw_p99,raw_max,spatial_min,spatial_p01,spatial_p05,spatial_p95,spatial_p99,spatial_max,temporal_min,temporal_p01,temporal_p05,temporal_p95,temporal_p99,temporal_max,slope_mean_min,slope_mean_mean,slope_mean_max,slope_min,slope_p01,slope_p05,slope_p95,slope_p99,slope_max
hus,5000.0,50.0,-1.3089239725639897e-06,-4.2785536800294815e-07,7.922051029477929e-07,-2.8076060516468715e-06,-2.1726566501456546e-06,-1.876322244243056e-06,1.417129624314839e-06,1.7551229802847956e-06,2.3979214347491502e-06,-1.836004349966294e-06,-1.715228427930896e-06,-1.6168380310787177e-06,1.0549829080442946e-06,1.1971360695283396e-06,1.3198177897231676e-06,-1.863531338130997e-06,-1.6729519529690151e-06,-1.5798607364558848e-06,9.724097935759346e-07,1.0913620371866273e-06,1.1355483593433746e-06,-8.622695424897235e-07,-2.0752751216587907e-07,2.5583886529737174e-08,-1.63306649480303e-06,-1.4976933693662626e-06,-1.3397987625135298e-06,6.925009590582315e-08,7.46491077867398e-08,9.202802907835083e-08
hus,10000.0,100.0,-7.450731043561152e-07,7.058491717506684e-08,1.109621280690248e-06,-4.20146625401685e-06,-1.940827360158437e-06,-1.5658015399822034e-06,2.1165460566408e-06,2.8436804768716684e-06,4.383739906188566e-06,-1.2068669915294537e-06,-1.1097142599080751e-06,-1.0227574972679371e-06,1.4792545652678803e-06,1.5922212628817075e-06,1.848206314017714e-06,-1.6645198002152028e-06,-1.3327422720976756e-06,-1.2281918770895572e-06,1.349533135908132e-06,1.4417626061913325e-06,1.5478716477446142e-06,-5.339133664073057e-07,-1.2758089586202747e-07,2.4691095713526512e-08,-9.376153587268676e-07,-9.066607259434848e-07,-8.709522838295997e-07,1.012287334387099e-07,1.0717852128121105e-07,1.9072554300234138e-07
hus,15000.0,150.0,-7.067323046077966e-07,1.0368815185530516e-06,4.507874576766339e-06,-2.543404116295278e-05,-5.53086465515662e-06,-3.346571247675456e-06,9.735832463775296e-06,1.225006144522922e-05,3.271455716458149e-05,-2.203891750700042e-06,-2.0925488373446504e-06,-1.870443247117636e-06,5.40038814855829e-06,5.70396528476417e-06,5.883008883169374e-06,-6.28293901172583e-06,-3.835780717054149e-06,-2.550548742874525e-06,8.960852028394584e-06,9.831474926613735e-06,1.0826756806636697e-05,-5.880760179633965e-07,-1.2967980761245217e-07,1.7001048379081052e-08,-3.4466987780141403e-06,-1.9886253258328047e-06,-1.301618904955468e-06,9.27795370589169e-07,1.4299535833721352e-06,2.439741704498361e-06
hus,20000.0,200.0,-8.383108973261313e-07,4.891657935462956e-06,1.815583772355793e-05,-0.0001436349557479,-3.467738497420214e-05,-1.8374066712567583e-05,4.948881542077288e-05,6.695983756799251e-05,0.0001770145318005,-7.331768980872711e-06,-6.440052507476412e-06,-5.389168530000695e-06,2.0914069586256523e-05,2.1863727504930915e-05,2.2572128354146105e-05,-4.439070835360326e-05,-2.6114432330359705e-05,-1.4164031199470628e-05,4.34563153248746e-05,5.225706263445318e-05,6.476903217844665e-05,-5.748062209989901e-07,-7.422421929687358e-08,1.4380739118973983e-06,-1.6363013721076757e-05,-9.044584839251402e-06,-4.741640957811777e-06,6.555256971417444e-06,1.52595469713893e-05,2.445962144213311e-05
hus,25000.0,250.0,2.4162690445002645e-07,1.24280078798933e-05,4.189086390639217e-05,-0.0004268347402103,-0.0001209179899888,-5.864286140422337e-05,0.0001243653387064,0.0001866998063633,0.0006093154661357,-1.590066056552254e-05,-1.304435174987796e-05,-1.00710831441604e-05,4.747983651596808e-05,4.968100098005394e-05,5.246905689644512e-05,-0.0001674232917139,-8.921368862502277e-05,-4.3656571506289765e-05,9.933563705999404e-05,0.0001365350908599,0.0002087252942146,-1.6435175492880516e-06,6.204349620395371e-08,6.015064538966321e-06,-4.813755808898795e-05,-2.590246926379136e-05,-1.3253921551669434e-05,2.325050735123956e-05,5.163236840603492e-05,8.532594639583971e-05
hus,30000.0,300.0,1.6790879747404096e-06,2.358522254948149e-05,7.424091644568591e-05,-0.0009508249349892,-0.0002913656644523,-0.0001311263913521,0.0002376293850829,0.0003841503057628,0.0014269343810155,-2.4474220684180748e-05,-1.94120374698337e-05,-1.3996612158999663e-05,8.352670494445834e-05,8.732055954139157e-05,9.41284104478509e-05,-0.0004425073857419,-0.0002156901173293,-8.970826456788927e-05,0.0001696540566626,0.0002609076327644,0.0004508280544541,-3.274559769931588e-06,1.8299781476047946e-07,1.284374325519615e-05,-0.0001405638542797,-7.487744800040764e-05,-3.618717216640446e-05,5.444888041392892e-05,0.0001207299400637,0.0002037703442957
hus,40000.0,400.0,-9.581706542190956e-06,5.323693056065605e-05,0.0001775590083234,-0.0028354385867714,-0.0010690486524254,-0.0004890346317552,0.000612445641309,0.0010078459745272,0.0034356112591922,-8.043826752888525e-05,-6.971219092526274e-05,-5.97399910101425e-05,0.0002067460362394,0.000214552554922,0.0002291188214236,-0.0014017230132594,-0.0008228830993175,-0.0003531462571118,0.0004165412683505,0.0006120958132669,0.0015687048435211,-1.1184500361217606e-05,-3.2159765771025404e-06,2.6535195412366656e-05,-0.0005771180790471,-0.000333894246291,-0.0001386353048581,0.0001490257652757,0.0003596855656547,0.0007422709803732
hus,50000.0,500.0,3.8198555167042415e-06,0.00011909968260490755,0.0003922399999547,-0.0045270957052707,-0.0021907822228968,-0.0009782895212993,0.0013432351406663,0.002097847405821,0.0057636438868939,-0.0001421299589499,-0.0001228137741827,-0.0001028760865404,0.0004548878723456,0.000475371504254,0.000497853203794,-0.002873133867979,-0.0016649666940793,-0.0007363617187365,0.000992126064375,0.0013555156765505,0.0031912524718791,-1.9547232643845263e-05,-2.2289724725871576e-06,6.600400096723919e-05,-0.0010422262487685,-0.0005444489247351,-0.0002548112676415,0.0003232076049404,0.0008630436098207,0.0015013724529913
hus,60000.0,600.0,9.08636652233062e-07,0.00018432952000731743,0.0005198912607643,-0.0064780940301716,-0.0027346780989319,-0.0012614500010386,0.001687301788479,0.0028177720960229,0.0070234830491244,-0.0001386036826124,-0.0001209514056807,-7.959469836257809e-05,0.0006121110196971,0.0006445056051687,0.0006757945623752,-0.0037696647923439,-0.0019459299510344,-0.0008955032099038,0.0011448541190475,0.0018319276859983,0.004086647182703,-1.980038410354098e-05,6.480574634070837e-06,0.0001183226976064,-0.0013120381114757,-0.0006950734298938,-0.0002944821108117,0.000497409613562,0.0009643036656397,0.0021037289693676
hus,70000.0,700.0,2.4911049914259044e-06,0.00027744778846984606,0.0007487407604566,-0.0084587233141064,-0.0033210758119821,-0.0015460136346518,0.0022755749523639,0.0037033667322248,0.0096082082018256,-0.0002171326017,-0.0001724091134428,-0.0001145865234423,0.0008886771182668,0.0009435209962185,0.0010200942305264,-0.0050936071202158,-0.002444856101647,-0.0010682165157049,0.0016166613204404,0.0025563926901668,0.0048841005191206,-2.600564893253877e-05,2.275493579056575e-05,0.0002204256566488,-0.0012483350238134,-0.0007334844504268,-0.0002658674464372,0.000787150905533,0.0013522663568919,0.0024403850502881
