var,plev_pa,plev_hpa,global_mean_min,global_mean_mean,global_mean_max,raw_min,raw_p01,raw_p05,raw_p95,raw_p99,raw_max,spatial_min,spatial_p01,spatial_p05,spatial_p95,spatial_p99,spatial_max,temporal_min,temporal_p01,temporal_p05,temporal_p95,temporal_p99,temporal_max,slope_mean_min,slope_mean_mean,slope_mean_max,slope_min,slope_p01,slope_p05,slope_p95,slope_p99,slope_max
hus,5000.0,50.0,1.3846207623899983e-06,1.7104346454380255e-06,2.69745555014345e-06,1.2620251510497836e-08,5.129601845510479e-07,9.243086083188246e-07,3.886303602484986e-06,4.425752649694914e-06,5.108342520543374e-06,1.2530566787307509e-06,1.2645417815366396e-06,1.2824151523115911e-06,3.7509452417497703e-06,3.830758264405779e-06,4.00466425903774e-06,7.972538469402934e-07,1.0128270560016972e-06,1.0886469681281596e-06,2.9540410650952253e-06,2.9640345928783063e-06,2.9685259050893364e-06,-5.564248803122048e-07,-1.5152922696385947e-07,-9.61685267880616e-09,-6.75124660950753e-07,-6.658029531598926e-07,-6.564660736291577e-07,1.4214893327469533e-08,1.8301483434118862e-08,2.559013887542968e-08
hus,10000.0,100.0,2.0488471622795776e-06,2.3582505283233307e-06,2.709208779867061e-06,-2.402991015060252e-07,5.334778165888565e-07,9.58917894422484e-07,4.156221621087752e-06,5.096241693536285e-06,6.9398206505866256e-06,1.647687021927254e-06,1.6782014619679757e-06,1.722890375832294e-06,4.1800625112174665e-06,4.638691172910817e-06,4.964791584429336e-06,6.035591582076449e-07,8.559326829526981e-07,9.817383670451818e-07,3.208664566045627e-06,3.33686489284446e-06,4.115056981390808e-06,-3.316496574451719e-07,-8.885097344849227e-08,3.2084615680483187e-09,-4.560602200837635e-07,-4.448214099893861e-07,-4.285377910724701e-07,3.558348258740555e-08,4.5563167973386175e-08,7.277107739514817e-08
hus,15000.0,150.0,6.1787299351174535e-06,6.4697683573938286e-06,6.769870455439279e-06,2.1582715703516442e-07,1.172238398794434e-06,1.475998601563333e-06,1.3138819667801728e-05,1.6048184988903813e-05,4.201755655230954e-05,4.909247509923035e-06,5.083854617439062e-06,5.233076359419158e-06,7.755875185401798e-06,8.159315659166927e-06,8.623060993635785e-06,7.937459258755553e-07,1.3143423984729452e-06,1.5285779682017164e-06,1.204663476528367e-05,1.3692207176063675e-05,1.842495476012118e-05,-4.9173454923424273e-08,1.9685055297626117e-08,1.471836928163924e-07,-3.540610162384701e-07,-3.316195485105878e-07,-3.2140560296063573e-07,4.2895714667623634e-07,5.253811565886403e-07,6.454662405717352e-07
hus,20000.0,200.0,2.6245745460524537e-05,2.738113453119398e-05,2.9526452078919223e-05,-5.050662366556935e-06,1.8343384908803275e-06,2.4776302325335564e-06,7.086769619490951e-05,8.997506665764377e-05,0.0002452694170642,2.1143394909043716e-05,2.175951687956794e-05,2.270620484913537e-05,3.3779136608190976e-05,3.471111845890123e-05,3.535894039715734e-05,1.032924046739936e-06,2.1864161681151018e-06,2.7588423563429387e-06,6.371713243424892e-05,7.675810775253922e-05,0.0001030800995067,6.48226871913793e-08,3.958604311041936e-07,6.991730214213407e-07,-1.164682682166453e-06,-5.436544532984656e-07,-3.937279669441599e-07,2.2713271846971595e-06,3.1092637062319205e-06,4.077820671076762e-06
hus,25000.0,250.0,7.80164373371927e-05,8.249328932498962e-05,8.887093666239341e-05,-3.4981785574927926e-05,3.979172561230371e-06,6.062822194508044e-06,0.0002241083711851,0.0002952374925371,0.0006970493122935,6.42725264828593e-05,6.736578706179695e-05,6.93498023659563e-05,0.0001003485866464,0.0001025939426585,0.0001047570906774,1.3466145674101426e-06,5.826576398249017e-06,7.971364539116621e-06,0.0001993875630432,0.0002502243150956,0.0003433690289966,2.936364924846847e-07,1.3165466624062892e-06,2.4004931516145317e-06,-4.48426688937245e-06,-1.9681456967054315e-06,-9.094716898394152e-07,6.696089835132256e-06,9.693116934912566e-06,1.320000087012275e-05
hus,30000.0,300.0,0.0001701351993525,0.00018096728335485236,0.0001943879133373,-6.539261084981263e-05,7.897358955233358e-06,1.2561005860334262e-05,0.0004782941832672,0.0006816148525103,0.0017711189575493,0.0001433764785419,0.0001471585339889,0.0001513946873982,0.0002197171958553,0.0002234202918096,0.0002284652823748,2.412496996839764e-06,1.545240775158163e-05,1.7363046936225146e-05,0.0004204525612294,0.0005570373032242,0.0008092179195955,7.476944834923282e-07,2.887416038793797e-06,5.6348035835582335e-06,-1.019433493533035e-05,-4.899600296175004e-06,-2.360085504556454e-06,1.4066029277651164e-05,2.1314552747867805e-05,3.1229215932605274e-05
hus,40000.0,400.0,0.000506079668452,0.0005306002984550286,0.000568262598742,-0.0001197038072859,2.862628025468439e-05,4.2451629269635305e-05,0.0013628129381686,0.002005690941587,0.0041739316657185,0.0004324713019647,0.0004480972569467,0.0004558889767232,0.0006015070750012,0.0006129747743965,0.0006340771869015,3.1480976758757606e-05,4.846198862651363e-05,5.609694198938087e-05,0.001176765654236,0.0016027855454012,0.0024550361558794,2.307246888667132e-06,7.213603063315895e-06,1.3814739569654457e-05,-3.431330808555973e-05,-1.7235539103420434e-05,-6.99900318949516e-06,4.641809368452503e-05,7.422725713844448e-05,0.0001103781606928
hus,50000.0,500.0,0.0011137349173537,0.001166019958207419,0.0012409256452872,-0.000232438032981,7.203939458122477e-05,0.0001071024453267,0.0030801042448729,0.0041545424610376,0.0078237513080239,0.0009555579870623,0.0009876679270957,0.0010038642724033,0.001349406884931,0.0013664416615476,0.0013880420702906,7.578405347885564e-05,0.0001118231084547,0.0001336478599114,0.0026442240923643,0.0035227909684181,0.0051449257880449,5.388492679093161e-06,1.3950125734267621e-05,2.547570941136383e-05,-9.391850598223469e-05,-4.3935677331810457e-05,-1.3943748346200592e-05,8.180361955861492e-05,0.0001326812351455,0.0001967937715026
hus,60000.0,600.0,0.002009486004342,0.0021147904884079474,0.0022486975216989,-0.0001774712000042,0.0001031301653711,0.0001912295556394,0.005302857607603,0.0064018862321972,0.0106895891949534,0.0017644597077761,0.0017897893930867,0.0018260003953842,0.0024771655337299,0.0025144125717865,0.0025285835273343,6.518916779896244e-05,0.0001569999731145,0.0002216484717791,0.0046871835365891,0.0057353302836418,0.0076143089681863,9.632287080111118e-06,1.936021172826218e-05,3.0295909250442533e-05,-0.0001712687122953,-7.049766350611072e-05,-2.0373054633956985e-05,9.615120779275956e-05,0.0001458256344644,0.0002199682347289
hus,70000.0,700.0,0.0031823669634949,0.0033514350412659913,0.0035756003563289,-0.0003519977908581,2.0994646547478624e-05,0.0002069457841571,0.0078468974679708,0.0090002473443746,0.0144423898309469,0.0027957865717396,0.0028387416309762,0.0028872834286011,0.0038900893674986,0.003934723575768,0.003967448850101,1.8677359548746608e-05,8.054605132201687e-05,0.0001788154768291,0.0072171594947576,0.008335649035871,0.0106599340215325,1.5330003133179094e-05,3.131175134363249e-05,5.095936746506055e-05,-0.0002872089204492,-0.0001152981203859,-2.4547843805525585e-05,0.0001310485525375,0.0002050853903989,0.0003680021892526
