var,plev,plev_pa,plev_hpa,raw_min,raw_max,p01,p99,p05,p95
wind_speed,surface,,,0.00012337134103290737,19.31649398803711,0.21923068165779114,10.52119255065918,0.5383486747741699,8.81320004463197
wind_speed,50hPa,5000,50,0.00010719581041485071,72.92562866210938,0.38663688212633135,51.863075256347656,1.0735377073287964,38.3098030090332
wind_speed,100hPa,10000,100,0.0002150493673980236,62.311981201171875,0.7588754886388779,43.93989566802975,1.8477023780345916,34.0871812820435
wind_speed,150hPa,15000,150,0.000636354845482856,82.49732208251953,1.0279047465324402,45.294937171936,2.4013054370880127,36.5565185546875
wind_speed,200hPa,20000,200,0.0010200104443356395,92.9420394897461,1.0876445758342743,49.40427021026608,2.5189337730407715,38.752105712890625
wind_speed,250hPa,25000,250,0.00044483941746875644,90.3766098022461,1.0469493854045868,47.442691802978516,2.4211738109588623,37.27147674560547
wind_speed,300hPa,30000,300,0.00036387311411090195,83.74639129638672,0.9132973551750183,42.56681823730469,2.132681369781494,33.93187713623047
wind_speed,400hPa,40000,400,0.0002671860274858773,65.1374282836914,0.6494247311353684,34.0086784362793,1.5585668087005615,27.583450317382812
wind_speed,500hPa,50000,500,0.00012465682812035084,47.195011138916016,0.5482563370466232,28.34503746032715,1.3252619504928589,23.041522979736328
wind_speed,600hPa,60000,600,0.00011419302609283477,36.01966094970703,0.5082148289680481,24.087093353271484,1.2318700551986694,19.560102462768555
wind_speed,700hPa,70000,700,7.301796722458676e-05,28.40469741821289,0.45117547988891604,20.699235916137695,1.12970769405365,16.748891830444336
wind_speed,850hPa,85000,850,0.00018292629101779312,28.95404052734375,0.354041188955307,17.16893768310547,0.9123373031616211,13.699844360351562
wind_speed,925hPa,92500,925,0.00012618968321476132,30.659093856811523,0.2898769369721413,15.84685326576232,0.7637465596199036,12.56706714630127
wind_speed,1000hPa,100000,1000,0.00010436503362143412,19.374454498291016,0.20432546675205232,11.342250833511343,0.5152117609977722,9.64038372039795
wind_speed,total,,,7.301796722458676e-05,92.9420394897461,0.20432546675205232,51.863075256347656,0.5152117609977722,38.752105712890625
