var,plev,plev_pa,plev_hpa,raw_min,raw_max,p01,p99,p05,p95
wind_speed,surface,,,-14.940406799316406,16.504892349243164,-4.790650849342346,4.861195087432861,-3.037312996387481,2.953059434890747
wind_speed,50hPa,5000,50,-61.69698715209961,54.324851989746094,-26.312789936065673,21.417634983062726,-14.156806945800781,13.123903274536133
wind_speed,100hPa,10000,100,-45.51567077636719,43.79264831542969,-16.729522705078125,16.02740478515625,-9.933557510375977,10.136676788330078
wind_speed,150hPa,15000,150,-57.00611877441406,58.584442138671875,-16.98933982849121,16.08259391784668,-10.850391387939453,10.42569928169246
wind_speed,200hPa,20000,200,-68.26536560058594,63.80488586425781,-18.469816226959228,17.35015869140625,-11.569165229797363,11.194150924682617
wind_speed,250hPa,25000,250,-70.39259338378906,64.41519165039062,-18.704452533721923,17.91275405883789,-11.754425048828125,11.534982681274414
wind_speed,300hPa,30000,300,-67.36808776855469,60.44147872924805,-17.663339614868164,16.93199348449707,-11.207749366760254,10.842211723327637
wind_speed,400hPa,40000,400,-53.70228576660156,47.717952728271484,-14.668911933898926,14.050985336303711,-9.342859268188477,8.79391098022461
wind_speed,500hPa,50000,500,-41.928462982177734,37.678504943847656,-12.171344757080078,11.837974557876578,-7.7021284103393555,7.345207214355469
wind_speed,600hPa,60000,600,-31.75565528869629,31.321483612060547,-10.25754548072815,10.137323379516602,-6.4952497482299805,6.260717391967773
wind_speed,700hPa,70000,700,-26.610883712768555,26.054351806640625,-8.7820463180542,8.850349426269531,-5.5580339431762695,5.420322418212891
wind_speed,850hPa,85000,850,-23.300861358642578,25.371150970458984,-7.307636742591858,7.579121117591853,-4.556185722351074,4.5405192375183105
wind_speed,925hPa,92500,925,-23.151134490966797,25.788715362548828,-6.892951021194458,7.199249267578125,-4.300861835479736,4.283478736877441
wind_speed,1000hPa,100000,1000,-16.1390438079834,19.998249053955078,-5.395033359527588,5.4136152267456055,-3.414189112186431,3.3260583877563477
wind_speed,total,,,-70.39259338378906,64.41519165039062,-26.312789936065673,21.417634983062726,-14.156806945800781,13.123903274536133
