source,model,member,variable,unit,start,end,raw_min,raw_p01,raw_p05,raw_p95,raw_p99,raw_max,diff_to_era5_min,diff_to_era5_p01,diff_to_era5_p05,diff_to_era5_p95,diff_to_era5_p99,diff_to_era5_max
model_member,forced_sst,member3,va,,1979-01-01,2024-12-31,-42.10125732421875,-10.013859748840332,-6.051993370056152,6.205013751983643,10.37335434913632,34.438232421875,-43.32777786254883,-11.231080446243286,-6.471054100990294,6.4087629318237305,11.124828338623047,41.19807434082031
model_member,forced_sst,member4,va,,1979-01-01,2024-12-31,-37.5924072265625,-10.149259004592896,-6.079123044013976,6.2120256423950195,10.461609840393066,42.262447357177734,-38.741233825683594,-11.147939682006836,-6.445851826667784,6.371726036071777,11.011568851470884,39.36815643310547
model_member,forced_sst,member5,va,,1979-01-01,2024-12-31,-42.39174270629883,-10.145947847366333,-6.095131874084473,6.24016144275663,10.496723003387388,38.412960052490234,-44.56035614013672,-11.27087116241455,-6.476208686828613,6.402951240539551,11.122948083877532,44.27654266357422
model_member,archesweather,member1,va,,1979-01-01,2024-12-31,-41.20473861694336,-9.901431474685669,-6.0199456214904785,6.179567337036133,10.257585916519133,39.89695358276367,-49.66571044921875,-11.244504928588867,-6.468668484687804,6.395088195800781,11.069899950027434,43.131126403808594
model_member,archesweather,member2,va,,1979-01-01,2024-12-31,-39.441898345947266,-9.972808666229248,-6.045722007751465,6.206915855407715,10.31615924835205,43.541358947753906,-40.91883087158203,-11.215382013320923,-6.466217041015625,6.410871505737305,11.082996759414641,49.790931701660156
model_member,archesweather,member3,va,,1979-01-01,2024-12-31,-32.767066955566406,-9.984031677246094,-6.061176776885986,6.174345040321327,10.243942260742188,34.506134033203125,-39.548492431640625,-11.160505294799805,-6.431671142578125,6.39058780670166,11.038052778243923,40.84417724609375
model_member,archesweather,member4,va,,1979-01-01,2024-12-31,-40.11252975463867,-9.950144596099854,-6.0309729814529405,6.182798385620117,10.247371110916106,38.74958801269531,-40.529945373535156,-11.18111801147461,-6.475814366340636,6.419709205627441,11.131052017211914,38.83246994018555
model_member,archesweather,member5,va,,1979-01-01,2024-12-31,-33.771202087402344,-10.039650917053223,-6.06201696395874,6.200769901275635,10.34033432960507,36.73603820800781,-47.77588653564453,-11.231494340896607,-6.474491119384766,6.446067810058594,11.104812622070312,39.77751541137695
models_all_members_combined,ALL_SELECTED_MODELS,ALL_SELECTED_MEMBERS,va,,1979-01-01,2024-12-31,-42.39174270629883,-10.174766540527344,-6.098866939544678,6.243727684020996,10.55918025970459,43.541358947753906,-49.66571044921875,-11.27087116241455,-6.476208686828613,6.446067810058594,11.131052017211914,49.790931701660156
era5,ERA5,,wap,,1979-01-01,2024-12-31,-2.439764976501465,-0.12777364253997803,-0.053750038146972656,0.053752899169921875,0.2005862593650818,5.206887245178223,0.0,0.0,0.0,0.0,0.0,0.0
model_member,forced_sst,member1,wap,,1979-01-01,2024-12-31,-2.6208152770996094,-0.1234744743257761,-0.0527784563601017,0.053214911557733835,0.19652209296822498,3.822566509246826,-3.46242618560791,-0.11121516674757004,-0.048236098140478134,0.04827900975942612,0.11178682744503021,2.70766019821167
model_member,forced_sst,member2,wap,,1979-01-01,2024-12-31,-2.795198917388916,-0.12369954146444798,-0.05284249801188706,0.053120072931051254,0.19624221056699653,4.0153913497924805,-4.62623405456543,-0.11162222921848297,-0.04840350169688462,0.048304542899131775,0.1119818152487273,3.7473697662353516
model_member,forced_sst,member3,wap,,1979-01-01,2024-12-31,-3.12455415725708,-0.12356544591486454,-0.052774254232645035,0.05327126011252403,0.1965368302166457,4.140611171722412,-3.7652244567871094,-0.11117667570710182,-0.048239946365356445,0.048275966197252274,0.11170345544815063,3.5096781253814697
model_member,forced_sst,member4,wap,,1979-01-01,2024-12-31,-2.799109697341919,-0.12300162494182587,-0.05259630102664231,0.05319284275174141,0.19678418070077797,4.440433025360107,-4.0860724449157715,-0.11089102484285832,-0.04806800186634064,0.04834386333823204,0.11200045794248581,4.248371601104736
model_member,forced_sst,member5,wap,,1979-01-01,2024-12-31,-3.1000075340270996,-0.12316416069865227,-0.05268603563308716,0.05319266393780708,0.19657759174704204,3.761003017425537,-4.214639186859131,-0.11132278598845005,-0.0483083575963974,0.04834455996751785,0.11199691891670227,3.064833164215088
model_member,archesweather,member1,wap,,1979-01-01,2024-12-31,-2.8864169120788574,-0.12145552784204483,-0.0508195349946618,0.0513387326151129,0.19659285247325897,3.971083164215088,-3.582472801208496,-0.10805012285709381,-0.04554249737411736,0.045674529112875284,0.10911587186157679,3.6439738273620605
model_member,archesweather,member2,wap,,1979-01-01,2024-12-31,-3.493422031402588,-0.12188194252550602,-0.05089881662279366,0.051395609974861145,0.19652432814240406,4.161585330963135,-3.5605030059814453,-0.10808359697461128,-0.045696742832660675,0.04559693858027458,0.10889147259294862,3.5311570167541504
model_member,archesweather,member3,wap,,1979-01-01,2024-12-31,-2.5961685180664062,-0.12206768855452538,-0.051010191440582275,0.05144048109650612,0.19690188765525818,3.5407590866088867,-3.5598833560943604,-0.10791622713208199,-0.045580536127090454,0.045626912452280344,0.10893047906458353,3.0189528465270996
model_member,archesweather,member4,wap,,1979-01-01,2024-12-31,-3.198974609375,-0.12181536108255386,-0.05087139084935188,0.05142408236861229,0.19680464267730713,3.8073527812957764,-3.9562573432922363,-0.10825673967599869,-0.04575921222567558,0.045811936259269714,0.10963784158229828,3.145631790161133
model_member,archesweather,member5,wap,,1979-01-01,2024-12-31,-2.6461853981018066,-0.12085550889372826,-0.050768576748669136,0.05145184323191643,0.19738130882382343,4.588586330413818,-3.6628313064575195,-0.10779527746140957,-0.04552531260997056,0.04564952477812767,0.10941082239151001,3.603877544403076
models_all_members_combined,ALL_SELECTED_MODELS,ALL_SELECTED_MEMBERS,wap,,1979-01-01,2024-12-31,-3.493422031402588,-0.12369954146444798,-0.05284249801188706,0.05327126011252403,0.19738130882382343,4.588586330413818,-4.62623405456543,-0.11162222921848297,-0.04840350169688462,0.04834455996751785,0.11200045794248581,4.248371601104736
era5,ERA5,,hus,,1979-01-01,2024-12-31,6.65123877752194e-07,1.9271537894383073e-06,2.540084096835926e-06,0.010328160598874092,0.016000982373952866,0.025515612214803696,0.0,0.0,0.0,0.0,0.0,0.0
model_member,forced_sst,member1,hus,,1979-01-01,2024-12-31,-0.00011665894271573052,1.2716304809146095e-06,1.5774008943481022e-06,0.010397342033684254,0.01598118135705584,0.024891799315810204,-0.010433218441903591,-0.0012563122436404228,-0.0005071422841865566,0.0005897292867302895,0.0014044903218746185,0.010779386386275291
model_member,forced_sst,member2,hus,,1979-01-01,2024-12-31,-0.00011277683370281011,1.2642003639484756e-06,1.5631737767307644e-06,0.010399485053494528,0.015982231888920007,0.02483477257192135,-0.010112332180142403,-0.0012621256546117366,-0.0005106786265969276,0.0005905595608055592,0.001401478424668312,0.010253673419356346
model_member,forced_sst,member3,hus,,1979-01-01,2024-12-31,-0.00011859404185088351,1.2747582331940066e-06,1.5841542278849378e-06,0.010395190725102976,0.015985557809472084,0.025213129818439484,-0.011402314528822899,-0.0012620131974108518,-0.0005102804861962795,0.0005911975284106918,0.0013991226442158222,0.010517346672713757
model_member,forced_sst,member4,hus,,1979-01-01,2024-12-31,-0.000137389128212817,1.277931232834817e-06,1.6111081322378595e-06,0.01039853598922491,0.01599290670827025,0.026108235120773315,-0.010607322677969933,-0.0012599360197782516,-0.000509700970724225,0.0005834745243191719,0.0013912747858557811,0.01151301059871912
model_member,forced_sst,member5,hus,,1979-01-01,2024-12-31,-0.00013356631097849458,1.2776484470577998e-06,1.6092545820356463e-06,0.010395430028438568,0.015983019024133682,0.02449069544672966,-0.011453388258814812,-0.001264680176973343,-0.0005151281395228578,0.0005828645080327988,0.001388704732526086,0.011356470175087452
model_member,archesweather,member1,hus,,1979-01-01,2024-12-31,-9.767679875949398e-05,1.1971562798862578e-06,1.5735226952529047e-06,0.010393952066078738,0.01600765623152256,0.024786662310361862,-0.010232049971818924,-0.0012919139117002487,-0.0005108044773805883,0.0005857948039192651,0.0013795946724712849,0.010712824761867523
model_member,archesweather,member2,hus,,1979-01-01,2024-12-31,-0.00010188349551754072,1.1825144383692532e-06,1.522397036524126e-06,0.010397357866168022,0.015993813816457925,0.024705640971660614,-0.01099582202732563,-0.0012837424874305725,-0.0005063097923994064,0.0005901452444959376,0.0013862540945410728,0.010722674429416656
