source,model,member,variable,unit,start,end,raw_min,raw_p01,raw_p05,raw_p95,raw_p99,raw_max,diff_to_era5_min,diff_to_era5_p01,diff_to_era5_p05,diff_to_era5_p95,diff_to_era5_p99,diff_to_era5_max
era5,ERA5,,ua,,1979-01-01,2024-12-31,-43.52061462402344,-12.910888671875,-7.125602722167969,29.780628204345703,41.66902160644531,91.22898864746094,0.0,0.0,0.0,0.0,0.0,0.0
model_member,free_run_control,member1,ua,,1979-01-01,2024-12-31,-46.89164352416992,-9.959742937088013,-5.78387975692749,29.164173126220703,39.81878055572497,92.08930969238281,-64.35816955566406,-17.848785400390625,-10.015960693359375,11.114511489868164,18.23806077957147,57.073917388916016
model_member,free_run_control,member2,ua,,1979-01-01,2024-12-31,-46.46662902832031,-11.672918319702148,-6.46169283390045,28.77977180480957,39.76121520996094,83.86292266845703,-54.66709518432617,-19.316688537597656,-11.301172256469727,9.842565536499023,16.489754505157407,58.27402877807617
model_member,free_run_control,member3,ua,,1979-01-01,2024-12-31,-43.737884521484375,-12.800500869750977,-6.5391082763671875,27.72070322036734,38.09556198120117,90.94312286376953,-61.18500900268555,-21.1246555519104,-12.61288070678711,9.884396600723221,16.38945466995233,51.243507385253906
model_member,free_run_control,member4,ua,,1979-01-01,2024-12-31,-44.71419143676758,-12.72982406616211,-6.842978501319884,27.75148401260367,38.61079944610583,90.06452178955078,-59.651851654052734,-20.128925323486328,-11.925152826309201,9.903594064712479,16.63448715209961,58.03255844116211
model_member,free_run_control,member5,ua,,1979-01-01,2024-12-31,-45.75497055053711,-12.51935733795166,-6.612140655517578,28.169693088531403,38.558522834777705,98.53236389160156,-60.933135986328125,-20.364025897979737,-11.829794883728027,10.411378860473633,17.404120273590024,64.16114044189453
model_member,free_run_prediction,member1,ua,,1979-01-01,2024-12-31,-44.40618896484375,-9.944658288955688,-5.755468392372132,29.3116455078125,39.91886520385742,87.71185302734375,-59.73865509033203,-18.317960758209228,-10.088085269927978,11.169673013687131,18.442144412994395,57.720664978027344
model_member,free_run_prediction,member2,ua,,1979-01-01,2024-12-31,-42.6683464050293,-11.469506273269653,-6.422357559204102,28.87800607681274,40.04884723663332,83.30559539794922,-56.82639694213867,-19.07377632141113,-11.108145809173584,9.664674758911133,16.261470794677734,57.415775299072266
model_member,free_run_prediction,member3,ua,,1979-01-01,2024-12-31,-42.3532600402832,-12.659483966827393,-6.486199450492858,27.753601264953602,38.29035961151129,92.80697631835938,-73.34247589111328,-20.979640979766845,-12.430155801773072,9.577975320816037,16.068853397369395,55.149227142333984
model_member,free_run_prediction,member4,ua,,1979-01-01,2024-12-31,-42.849937438964844,-12.602580251693725,-6.82133104801178,27.896257400512695,38.954319038391134,87.75098419189453,-57.752906799316406,-20.06072431564331,-11.864489555358887,9.741307258605957,16.571758346557658,54.71269607543945
model_member,free_run_prediction,member5,ua,,1979-01-01,2024-12-31,-46.255271911621094,-12.351187753677369,-6.512279534339905,28.224172592163086,38.48318485260012,91.90616607666016,-57.09208297729492,-20.35413553237915,-11.68730936050415,10.365053176879883,17.353008308410665,59.84332275390625
models_all_members_combined,ALL_SELECTED_MODELS,ALL_SELECTED_MEMBERS,ua,,1979-01-01,2024-12-31,-46.89164352416992,-12.800500869750977,-6.842978501319884,29.3116455078125,40.04884723663332,98.53236389160156,-73.34247589111328,-21.1246555519104,-12.61288070678711,11.169673013687131,18.442144412994395,64.16114044189453
era5,ERA5,,va,,1979-01-01,2024-12-31,-43.47230529785156,-10.121699600219728,-6.1082305908203125,6.28472900390625,10.422485742568938,44.54136657714844,0.0,0.0,0.0,0.0,0.0,0.0
model_member,free_run_control,member1,va,,1979-01-01,2024-12-31,-33.16461181640625,-11.097621355056763,-6.735420227050781,6.557816982269287,10.952420625686614,35.25065231323242,-48.1304817199707,-12.420673370361328,-7.325716495513916,7.010385537147499,11.904666900634766,48.426788330078125
model_member,free_run_control,member2,va,,1979-01-01,2024-12-31,-31.78204917907715,-9.886872291564941,-6.036227226257324,6.043002605438232,9.764505777358977,33.94667434692383,-44.82601547241211,-12.029444131851196,-7.117315292358398,6.8847856521606445,11.665037155151367,43.92567443847656
model_member,free_run_control,member3,va,,1979-01-01,2024-12-31,-33.50465774536133,-9.658372316360474,-5.895618438720703,6.006633758544922,9.873047266006438,34.172882080078125,-42.230430603027344,-12.146026611328125,-7.193707013130187,7.054493927955605,11.879060745239258,43.513153076171875
model_member,free_run_control,member4,va,,1979-01-01,2024-12-31,-41.620933532714844,-10.62217903137207,-6.377815270423888,6.21242094039917,10.389734268188477,39.2880859375,-53.42171859741211,-12.663294792175293,-7.480377674102783,7.095827579498291,12.097463045120207,40.758567810058594
model_member,free_run_control,member5,va,,1979-01-01,2024-12-31,-35.76295852661133,-10.31832218170166,-6.404477119445801,6.197939896583534,10.13029670715332,39.31106185913086,-44.05586624145508,-12.157949447631836,-7.291228294372559,6.988344192504883,11.758956909179688,46.88756561279297
model_member,free_run_prediction,member1,va,,1979-01-01,2024-12-31,-32.226558685302734,-11.219249773025513,-6.760619187355042,6.631804943084717,11.166902627944992,33.16278076171875,-41.712100982666016,-12.47934534072876,-7.344364714622497,7.077334880828857,12.136243839263926,41.11671829223633
model_member,free_run_prediction,member2,va,,1979-01-01,2024-12-31,-34.322750091552734,-10.044296264648438,-6.187662601470947,6.205408120155333,9.936696090698263,35.91269302368164,-39.69398498535156,-12.095630655288696,-7.1763692617416375,7.027822494506836,11.935125350952148,44.47243881225586
model_member,free_run_prediction,member3,va,,1979-01-01,2024-12-31,-30.92273712158203,-9.735975284576416,-5.985335373878479,6.105330967903136,9.977807092666652,36.9517822265625,-38.25584411621094,-12.093852090835572,-7.124236607551575,7.011953377723692,11.872741708755498,37.74372100830078
model_member,free_run_prediction,member4,va,,1979-01-01,2024-12-31,-36.03099822998047,-10.957206783294678,-6.542130494117737,6.393040657043457,10.788529424667374,35.15787124633789,-39.23472213745117,-12.741091737747192,-7.525644326210022,7.182649660110471,12.241892824172979,46.977783203125
model_member,free_run_prediction,member5,va,,1979-01-01,2024-12-31,-45.49654769897461,-10.652031002044678,-6.5637078285217285,6.432863712310791,10.591249475479131,42.51014709472656,-44.669437408447266,-12.202699680328369,-7.3338727951049805,7.137220501899712,12.007139215469365,46.156654357910156
models_all_members_combined,ALL_SELECTED_MODELS,ALL_SELECTED_MEMBERS,va,,1979-01-01,2024-12-31,-45.49654769897461,-11.219249773025513,-6.760619187355042,6.631804943084717,11.166902627944992,42.51014709472656,-53.42171859741211,-12.741091737747192,-7.525644326210022,7.182649660110471,12.241892824172979,48.426788330078125
era5,ERA5,,wap,,1979-01-01,2024-12-31,-2.439764976501465,-0.12777364253997803,-0.053750038146972656,0.053752899169921875,0.2005862593650818,5.206887245178223,0.0,0.0,0.0,0.0,0.0,0.0
model_member,free_run_control,member1,wap,,1979-01-01,2024-12-31,-2.8117799758911133,-0.21864498004317284,-0.0960175022482872,0.09053199738264084,0.2270882996916761,4.093681335449219,-4.2217254638671875,-0.21615802362561226,-0.09764716066420076,0.089541674032807,0.17834044113755176,3.7480812072753906
model_member,free_run_control,member2,wap,,1979-01-01,2024-12-31,-2.9382879734039307,-0.2172345668077469,-0.09483616799116135,0.08937868475914001,0.21908750861883064,4.357588291168213,-4.623614311218262,-0.21796584129333496,-0.09716717898845673,0.08949287980794907,0.17631422594189594,3.9651522636413574
model_member,free_run_control,member3,wap,,1979-01-01,2024-12-31,-2.967968225479126,-0.21734501421451569,-0.0943906385451555,0.08873026818037033,0.21608751207589805,5.142598628997803,-4.011936664581299,-0.22140589967370033,-0.09844046086072922,0.09074297547340393,0.17818306997418354,4.671535491943359
model_member,free_run_control,member4,wap,,1979-01-01,2024-12-31,-3.182992935180664,-0.21823986485600472,-0.09593235738575456,0.09055650234222412,0.2203796222805927,5.010590553283691,-4.35249662399292,-0.22089436650276184,-0.09930437058210373,0.09113480150699615,0.1798732551932325,4.19783878326416
model_member,free_run_control,member5,wap,,1979-01-01,2024-12-31,-3.496009111404419,-0.2164088399708271,-0.09470018744468689,0.08951026946306229,0.2201631435751885,4.477545738220215,-3.5636963844299316,-0.21931840479373932,-0.09810198135673998,0.08998500555753708,0.17750466212630123,3.5307259559631348
model_member,free_run_prediction,member1,wap,,1979-01-01,2024-12-31,-2.59621524810791,-0.21822284221649169,-0.09579685367643834,0.09057965129613876,0.22839921787381212,3.8486688137054443,-3.9529876708984375,-0.21495720893144607,-0.09715247303247451,0.08958991840481745,0.17931672945618637,3.277266025543213
model_member,free_run_prediction,member2,wap,,1979-01-01,2024-12-31,-3.0201525688171387,-0.21726603895425797,-0.0946730837225914,0.08946024626493454,0.22176812678575564,3.8064186573028564,-3.651019811630249,-0.21620212525129318,-0.09638585224747657,0.08925982564687729,0.177036568671465,3.5542404651641846
model_member,free_run_prediction,member3,wap,,1979-01-01,2024-12-31,-2.5287013053894043,-0.21735341846942902,-0.09432125836610794,0.08883442059159274,0.21728418841958086,4.804164886474609,-3.904590129852295,-0.2198965410888195,-0.09786741435527802,0.0906246080994606,0.17856401234865205,4.075758934020996
model_member,free_run_prediction,member4,wap,,1979-01-01,2024-12-31,-3.2265307903289795,-0.21859678804874422,-0.09599839188158513,0.09090814739465714,0.2230103629827509,5.526393890380859,-3.240811347961426,-0.22005690649151802,-0.09898504614830017,0.09138412773609161,0.18116472721099885,5.3537445068359375
model_member,free_run_prediction,member5,wap,,1979-01-01,2024-12-31,-2.7999460697174072,-0.21670565024018287,-0.09473183006048203,0.08981839567422867,0.22246648743748865,4.279727458953857,-4.050100803375244,-0.21848250940442085,-0.0977284386754036,0.09015638381242752,0.17899146735668214,3.1090588569641113
models_all_members_combined,ALL_SELECTED_MODELS,ALL_SELECTED_MEMBERS,wap,,1979-01-01,2024-12-31,-3.496009111404419,-0.21864498004317284,-0.0960175022482872,0.09090814739465714,0.22839921787381212,5.526393890380859,-4.623614311218262,-0.22140589967370033,-0.09930437058210373,0.09138412773609161,0.18116472721099885,5.3537445068359375
era5,ERA5,,hus,,1979-01-01,2024-12-31,6.65123877752194e-07,1.9271537894383073e-06,2.540084096835926e-06,0.010328160598874092,0.016000982373952866,0.025515612214803696,0.0,0.0,0.0,0.0,0.0,0.0
model_member,free_run_control,member1,hus,,1979-01-01,2024-12-31,-0.0008744117803871632,1.2754062015574163e-06,1.9104757029708708e-06,0.010748509364202574,0.016256896778941154,0.027742141857743263,-0.014934211038053036,-0.00194247012026608,-0.0006265528616495424,0.0012731561437249184,0.002688006085809297,0.014966243878006935
model_member,free_run_control,member2,hus,,1979-01-01,2024-12-31,-0.00016789360961411148,1.173470877802174e-06,1.7146673997103793e-06,0.011040911078453064,0.01650618389248848,0.026281708851456642,-0.013758554123342037,-0.0016986308619379997,-0.0004622167907655239,0.001629142090678215,0.0031699293339624846,0.015005451627075672
model_member,free_run_control,member3,hus,,1979-01-01,2024-12-31,-0.0009552153060212731,1.0646160717442399e-06,1.4434835975407623e-06,0.011073285713791847,0.016097713261842728,0.026773370802402496,-0.012890806421637535,-0.0021255805203691126,-0.0005738559470046308,0.0018965471535921097,0.0034930817782878876,0.015397714450955391
model_member,free_run_control,member4,hus,,1979-01-01,2024-12-31,-0.000400320888729766,9.838225878411322e-07,1.3485802128343494e-06,0.011190316686406687,0.01617424266412848,0.026083828881382942,-0.015187911689281464,-0.0020477259531617165,-0.0005189389921724796,0.0019003790919668861,0.0036033235536888086,0.017072947695851326
model_member,free_run_control,member5,hus,,1979-01-01,2024-12-31,-0.00012479779252316803,1.0584467418084387e-06,1.4110866004557465e-06,0.011259358376264572,0.01631796546280384,0.02868504449725151,-0.011635560542345047,-0.001995125785470009,-0.0005041053518652916,0.001736731268465519,0.0033981315791606903,0.018082236871123314
model_member,free_run_prediction,member1,hus,,1979-01-01,2024-12-31,-0.0002719447365961969,1.2852967745402566e-06,1.921405555549427e-06,0.010671772109344599,0.016180507857352505,0.02731511741876602,-0.011867241933941841,-0.0021243244409561157,-0.0007855256670154631,0.001018298789858818,0.0023851134162396342,0.014335121028125286
model_member,free_run_prediction,member2,hus,,1979-01-01,2024-12-31,-0.00015333204646594822,1.1837696524708008e-06,1.7782455017822942e-06,0.010959846014156935,0.016446527112275372,0.025892728939652443,-0.013490013778209686,-0.001886412501335144,-0.0006161740806419402,0.001327758212573825,0.0028240764513611794,0.014374785125255585
model_member,free_run_prediction,member3,hus,,1979-01-01,2024-12-31,-0.0008014783379621804,1.0849515763311502e-06,1.482705204125523e-06,0.010999924549832937,0.01605145264416935,0.026547210291028023,-0.012877371162176132,-0.0023117996798828243,-0.0007124218565877526,0.00165655929595232,0.003230728234630092,0.015061532147228718
model_member,free_run_prediction,member4,hus,,1979-01-01,2024-12-31,-0.0003182025102432817,1.0005450110384118e-06,1.3901906015689748e-06,0.011075943754985926,0.016094306483864784,0.025998158380389214,-0.013827234506607056,-0.002247261123266071,-0.000677846372127533,0.0016518086253199723,0.0033348531066440083,0.01411430910229683
model_member,free_run_prediction,member5,hus,,1979-01-01,2024-12-31,-0.00015996659931261092,1.0750284195637506e-06,1.470842892103974e-06,0.01116256052628159,0.016229022312909375,0.02764793485403061,-0.011240211315453053,-0.0022182622971013187,-0.0006527740159071981,0.001504486438352614,0.003127271325793126,0.01712041161954403
models_all_members_combined,ALL_SELECTED_MODELS,ALL_SELECTED_MEMBERS,hus,,1979-01-01,2024-12-31,-0.0009552153060212731,9.838225878411322e-07,1.3485802128343494e-06,0.011259358376264572,0.01650618389248848,0.02868504449725151,-0.015187911689281464,-0.0023117996798828243,-0.0007855256670154631,0.0019003790919668861,0.0036033235536888086,0.018082236871123314
era5,ERA5,,zg,m,1979-01-01,2024-12-31,-323.5998840332031,-50.218287620544444,118.93303680419922,20448.859375,20712.626953125,21189.26953125,0.0,0.0,0.0,0.0,0.0,0.0
model_member,free_run_control,member1,zg,m,1979-01-01,2024-12-31,-328.2354736328125,-38.94768150329591,117.7706298828125,20316.94921875,20673.873046875,20925.353515625,-1357.720703125,-312.31640625,-142.3046875,187.5947265625,435.71484375,1941.072265625
